subzone,cuisine_primary,count
"3 Weeds, Rozelle",['Pub Food'],1
Abbotsford,['Bakery',1
Abbotsford,['Cafe',1
Abbotsford,['Cafe'],2
Abbotsford,['Charcoal Chicken',1
Abbotsford,['Chinese'],2
Abbotsford,['Italian',3
Abbotsford,['Korean'],1
Abbotsford,['Latin American',1
Abbotsford,['Pizza',3
Abbotsford,['Thai'],2
"ActivateMarketplace UTS, CBD",['Mexican'],1
Alexandria,['Asian'],1
Alexandria,['Australian'],1
Alexandria,['Bakery',1
Alexandria,['Bar Food'],3
Alexandria,['Burger',3
Alexandria,['Burger'],1
Alexandria,['Cafe',20
Alexandria,['Cafe'],17
Alexandria,['Chinese'],2
Alexandria,['Continental'],1
Alexandria,['Desserts',1
Alexandria,['European',1
Alexandria,['Fish and Chips'],1
Alexandria,['Healthy Food',1
Alexandria,['Italian',2
Alexandria,['Italian'],1
Alexandria,['Japanese',3
Alexandria,['Japanese'],1
Alexandria,['Pizza'],1
Alexandria,['Pub Food'],2
Alexandria,['Thai'],3
Alexandria,['Vietnamese',2
Alexandria,['Vietnamese'],1
"Amora Hotel Jamison Sydney, CBD",['Asian',1
"Amora Hotel Jamison Sydney, CBD",['Chinese'],1
"Amora Hotel Jamison Sydney, CBD",['Japanese'],1
"Amora Hotel Jamison Sydney, CBD",['Modern Australian',1
"Amora Hotel Jamison Sydney, CBD",['Seafood',1
"Amora Hotel Jamison Sydney, CBD",['Vietnamese',1
Annandale,['Asian'],1
Annandale,['Bakery',1
Annandale,['Bar Food'],1
Annandale,['Burger',3
Annandale,['Burger'],1
Annandale,['Cafe',6
Annandale,['Cafe'],6
Annandale,['Coffee and Tea',1
Annandale,['European',1
Annandale,['Fast Food',2
Annandale,['Fast Food'],1
Annandale,['Indian'],2
Annandale,['Italian',1
Annandale,['Japanese',2
Annandale,['Mediterranean',1
Annandale,['Modern Australian'],1
Annandale,['Pizza',1
Annandale,['Pizza'],1
Annandale,['Pub Food'],2
Annandale,['Tapas',1
Arncliffe,['Asian',1
Arncliffe,['Asian'],2
Arncliffe,['Australian'],1
Arncliffe,['Bakery',4
Arncliffe,['Bakery'],1
Arncliffe,['Burger'],1
Arncliffe,['Cafe',2
Arncliffe,['Cafe'],5
Arncliffe,['Chinese',1
Arncliffe,['Chinese'],2
Arncliffe,['Fast Food',1
Arncliffe,['Fast Food'],2
Arncliffe,['Indian'],1
Arncliffe,['Kebab',2
Arncliffe,['Middle Eastern',1
Arncliffe,['Modern Australian'],1
Arncliffe,['Mongolian'],1
Arncliffe,['Nepalese'],1
Arncliffe,['Pizza'],1
Arncliffe,['Pub Food'],1
Arncliffe,['Sushi'],1
Arncliffe,['Thai'],1
Art Gallery of New South Wales,['Modern Australian',1
ArtHouse Hotel,['Bar Food'],2
ArtHouse Hotel,['Italian'],1
Artarmon,['Asian',1
Artarmon,['Burger',1
Artarmon,['Cafe',5
Artarmon,['Cafe'],7
Artarmon,['Indian'],1
Artarmon,['Japanese BBQ'],1
Artarmon,['Japanese',2
Artarmon,['Japanese'],2
Artarmon,['Mediterranean',1
Artarmon,['Pizza'],1
Artarmon,['Pub Food'],1
Artarmon,['Sandwich',2
Artarmon,['Thai'],3
Ashfield,['Asian',2
Ashfield,['Asian'],3
Ashfield,['Australian',1
Ashfield,['Australian'],1
Ashfield,['Cafe',1
Ashfield,['Cafe'],6
Ashfield,['Chinese',5
Ashfield,['Chinese'],12
Ashfield,['Healthy Food',1
Ashfield,['Indian',1
Ashfield,['Italian',1
Ashfield,['Japanese'],2
Ashfield,['Middle Eastern',1
Ashfield,['Nepalese',1
Ashfield,['Polish',1
Ashfield,['Pub Food'],1
Ashfield,['Thai',1
Ashfield,['Turkish'],1
Ashfield,['Vietnamese',2
Ashfield,['Vietnamese'],1
"Ashfield Mall, Ashfield",['Indian'],1
"Ashfield Mall, Ashfield",['Thai'],1
"Ashfield Mall, Ashfield",['Turkish'],1
Auburn,['Afghani',1
Auburn,['Afghani'],1
Auburn,['Asian'],1
Auburn,['BBQ',1
Auburn,['Bakery',2
Auburn,['Burger'],2
Auburn,['Cafe',4
Auburn,['Cafe'],3
Auburn,['Chinese',1
Auburn,['Chinese'],6
Auburn,['Ethiopian',1
Auburn,['Grill',1
Auburn,['Indian',1
Auburn,['Iranian'],1
Auburn,['Kebab'],1
Auburn,['Malaysian'],1
Auburn,['Mediterranean'],1
Auburn,['Middle Eastern',3
Auburn,['Middle Eastern'],2
Auburn,['Nepalese'],1
Auburn,['Pakistani',1
Auburn,['Pakistani'],1
Auburn,['Pizza',1
Auburn,['Pub Food'],2
Auburn,['Thai'],1
Auburn,['Tibetan',1
Auburn,['Turkish',2
Auburn,['Turkish'],3
"Auburn Central, Auburn",['Chinese'],2
"Auburn Central, Auburn",['Modern Australian',1
"Auburn Central, Auburn",['Nepalese'],1
"Australia Square Food Court, CBD",['Chinese',1
"Australia Square Food Court, CBD",['Fish and Chips',1
