SSC_NAME,cuisine_primary,count
Abbotsbury,['Italian',2
Abbotsford (NSW),['Korean'],1
Abbotsford (NSW),['Latin American',1
Abbotsford (NSW),['Pizza',2
Abbotsford (NSW),['Thai'],1
Alexandria,['Australian'],1
Alexandria,['Bakery',1
Alexandria,['Bar Food'],3
Alexandria,['Burger',3
Alexandria,['Burger'],1
Alexandria,['Cafe',21
Alexandria,['Cafe'],12
Alexandria,['Chinese'],1
Alexandria,['Continental'],1
Alexandria,['Desserts',1
Alexandria,['European',1
Alexandria,['Fish and Chips'],1
Alexandria,['Healthy Food',1
Alexandria,['Italian',2
Alexandria,['Italian'],1
Alexandria,['Japanese',1
Alexandria,['Japanese'],1
Alexandria,['Modern Australian'],1
Alexandria,['Pizza'],1
Alexandria,['Pub Food'],2
Alexandria,['Sandwich'],1
Alexandria,['Seafood',1
Alexandria,['Thai'],3
Alexandria,['Vietnamese',2
Alexandria,['Vietnamese'],1
Allambie Heights,['Cafe',1
Allambie Heights,['Cafe'],2
Allambie Heights,['Indian'],1
Allambie Heights,['Italian',1
Allawah,['Asian'],1
Allawah,['Cafe'],1
Allawah,['Indian'],1
Allawah,['Italian',1
Allawah,['Pizza'],1
Allawah,['Portuguese',1
Allawah,['Pub Food'],1
Allawah,['Thai'],1
Annandale (NSW),['Asian'],1
Annandale (NSW),['Bakery',1
Annandale (NSW),['Bar Food'],1
Annandale (NSW),['Burger',3
Annandale (NSW),['Burger'],1
Annandale (NSW),['Cafe',6
Annandale (NSW),['Cafe'],6
Annandale (NSW),['Coffee and Tea',1
Annandale (NSW),['European',1
Annandale (NSW),['Fast Food',2
Annandale (NSW),['Fast Food'],1
Annandale (NSW),['Indian'],2
Annandale (NSW),['Italian',1
Annandale (NSW),['Japanese',2
Annandale (NSW),['Mediterranean',1
Annandale (NSW),['Modern Australian'],1
Annandale (NSW),['Pizza',1
Annandale (NSW),['Pizza'],1
Annandale (NSW),['Pub Food'],2
Annandale (NSW),['Tapas',1
Arncliffe,['Bakery',4
Arncliffe,['Bakery'],1
Arncliffe,['Cafe'],2
Arncliffe,['Chinese',1
Arncliffe,['Fast Food',1
Arncliffe,['Fast Food'],1
Arncliffe,['Indian'],1
Arncliffe,['Kebab',1
Arncliffe,['Middle Eastern',1
Arncliffe,['Modern Australian'],1
Arncliffe,['Mongolian'],1
Arncliffe,['Pizza'],1
Arncliffe,['Pub Food'],1
Arncliffe,['Thai'],1
Arndell Park,['Asian',1
Artarmon,['Asian',1
Artarmon,['Burger',1
Artarmon,['Cafe',5
Artarmon,['Cafe'],8
Artarmon,['Indian'],1
Artarmon,['Japanese BBQ'],1
Artarmon,['Japanese',2
Artarmon,['Japanese'],2
Artarmon,['Mediterranean',1
Artarmon,['Pizza'],1
Artarmon,['Pub Food'],1
Artarmon,['Sandwich',2
Artarmon,['Thai'],3
Ashbury,['Cafe',1
Ashfield (NSW),['Asian',2
Ashfield (NSW),['Asian'],3
Ashfield (NSW),['Australian',1
